127.0.0.1, 2019-08-16 19:30:58, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000283
127.0.0.1, 2019-08-16 19:30:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2019-08-16 19:31:02, GET, /conacom/default/vendas, HTTP/1.1, 303, 0.024399
127.0.0.1, 2019-08-16 19:31:02, GET, /conacom/default/user/login, HTTP/1.1, 200, 0.049757
127.0.0.1, 2019-08-16 19:31:02, GET, /conacom/static/css/jumbotron.css, HTTP/1.1, 404, 0.000278
127.0.0.1, 2019-08-16 19:31:02, GET, /conacom/assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.016723
127.0.0.1, 2019-08-16 19:31:02, GET, /conacom/dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.125992
127.0.0.1, 2019-08-16 19:31:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2019-08-29 21:17:47, GET, /, HTTP/1.1, 303, 0.001244
127.0.0.1, 2019-08-29 21:18:00, GET, /welcome/default/index, HTTP/1.1, 200, 11.548166
127.0.0.1, 2019-08-29 21:18:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001508
127.0.0.1, 2019-08-29 21:18:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002127
127.0.0.1, 2019-08-29 21:18:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001674
127.0.0.1, 2019-08-29 21:18:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001672
127.0.0.1, 2019-08-29 21:18:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001316
127.0.0.1, 2019-08-29 21:18:11, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2019-08-29 21:18:24, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000460
127.0.0.1, 2019-08-29 21:19:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.018171
127.0.0.1, 2019-08-29 21:19:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000262
127.0.0.1, 2019-08-29 21:19:44, GET, /admin/default/site, HTTP/1.1, 303, 1.142512
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/default/index, HTTP/1.1, 200, 0.255711
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.001085
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.001081
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001289
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000928
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.001931
127.0.0.1, 2019-08-29 21:19:45, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.000381
127.0.0.1, 2019-08-29 21:19:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000214
127.0.0.1, 2019-08-29 21:19:49, POST, /admin/default/index, HTTP/1.1, 303, 0.007300
127.0.0.1, 2019-08-29 21:19:49, GET, /admin/default/site, HTTP/1.1, 200, 0.039464
127.0.0.1, 2019-08-29 21:19:50, POST, /admin/default/check_version, HTTP/1.1, 200, 0.778596
